"WOCHENTAG;""DATUM"";""VON"";""BIS"";""DAUER_IN_MINUTEN"";""LV_NUMMER"";""TITEL"";""LV_ART"";""LV_GRUPPE"";""ORT"";""LERNEINHEIT"";""UNTERRICHTSEINHEIT"";""EREIGNIS_TYP"";""TERMIN_TYP"";""VORTRAGENDER_KONTAKTPERSON"";""ANMERKUNG"";""INTERNE_BEMERKUNG""",
"DO;""28.05.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""29.05.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""29.05.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""01.06.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""02.06.2026"";""10:00"";""13:30"";""210"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""03.06.2026"";""12:00"";""18:00"";""360"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""05.06.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""05.06.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""08.06.2026"";""08:30"";""16:00"";""450"";"""";""[TUM EdTech Centre] International Symposium Future of Learning"";"""";"""";""605"," Hörsaal (2907.06.605)"";"""";"""";""kein Ereignistyp"";""geplant"";""Dr. Na¿a Terzimehi¿"";"""";"""""
"MO;""08.06.2026"";""11:00"";""12:30"";""90"";"""";""EdTech Panelkonferenz Ausweichtermin Vorlesung"";"""";"""";""607"," Seminarraum (2907.06.607)"";"""";"""";""kein Ereignistyp"";""fix"";""Dr. Na¿a Terzimehi¿"";"""";"""""
"MO;""08.06.2026"";""11:30"";""19:30"";""480"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""08.06.2026"";""13:00"";""16:00"";""180"";"""";""[TUM EdTech Centre] Future of Education Conference"";"""";"""";""605"," Hörsaal (2907.06.605)"";"""";"""";""kein Ereignistyp"";""abgesagt"";""Dr. Na¿a Terzimehi¿"";"""";"""""
"DI;""09.06.2026"";""11:00"";""13:00"";""120"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""10.06.2026"";""14:00"";""18:00"";""240"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""fix"";""mingcong ding"";"""";"""""
"DO;""11.06.2026"";""14:00"";""20:00"";""360"";"""";""AEyeCoL data collection"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"FR;""12.06.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""12.06.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""15.06.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""17.06.2026"";""10:15"";""19:00"";""525"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"DO;""18.06.2026"";""14:00"";""18:30"";""270"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
